Version.[Version Name],DC,Warehouse,Store,Time.[Week],Item.[Stat Item],Actual
CurrentWorkingView,106446,106406,40101,04-Apr-22,010160,855
CurrentWorkingView,106446,106406,40101,18-Apr-22,010160,855
CurrentWorkingView,106446,106406,40101,09-May-22,010160,1425
CurrentWorkingView,106446,106406,40101,30-May-22,010160,997.5
CurrentWorkingView,106446,106406,40101,20-Jun-22,010160,1710
CurrentWorkingView,106446,106406,40101,25-Jul-22,010160,1567.5
CurrentWorkingView,106446,106406,40101,08-Aug-22,010160,1567.5
CurrentWorkingView,106446,106406,40101,15-Aug-22,010160,712.5
CurrentWorkingView,106446,106406,40101,29-Aug-22,010160,855
CurrentWorkingView,106446,106406,40101,03-Oct-22,010160,570
CurrentWorkingView,106446,106406,40101,24-Oct-22,010160,997.5
CurrentWorkingView,106446,106406,40101,31-Oct-22,010160,1282.5
CurrentWorkingView,106446,106406,40101,28-Nov-22,010160,712.5
CurrentWorkingView,106446,106406,40101,26-Dec-22,010160,1567.5
CurrentWorkingView,106446,106406,40101,16-Jan-23,010160,712.5
CurrentWorkingView,106446,106406,40101,06-Feb-23,010160,997.5
CurrentWorkingView,106446,106406,40101,20-Feb-23,010160,712.5
CurrentWorkingView,106446,106406,40101,13-Mar-23,010160,997.5
CurrentWorkingView,106446,106406,40101,03-Apr-23,010160,1282.5
CurrentWorkingView,106446,106406,40101,24-Apr-23,010160,1282.5
CurrentWorkingView,106446,106406,40101,08-May-23,010160,1995
CurrentWorkingView,106446,106406,40101,29-May-23,010160,997.5
CurrentWorkingView,106446,106406,40101,05-Jun-23,010160,1282.5
CurrentWorkingView,106446,106406,40101,19-Jun-23,010160,712.5
CurrentWorkingView,106446,106406,40101,03-Jul-23,010160,855
CurrentWorkingView,106446,106406,40101,14-Aug-23,010160,997.5
CurrentWorkingView,106446,106406,40101,28-Aug-23,010160,997.5
CurrentWorkingView,106446,106406,40101,04-Sep-23,010160,1282.5
CurrentWorkingView,106446,106406,40101,25-Sep-23,010160,570
CurrentWorkingView,106446,106406,40101,09-Oct-23,010160,855
CurrentWorkingView,106446,106406,40101,23-Oct-23,010160,997.5
CurrentWorkingView,106446,106406,40101,27-Nov-23,010160,1140
CurrentWorkingView,106446,106406,40101,18-Dec-23,010160,1425
CurrentWorkingView,106446,106406,40101,01-Jan-24,010160,997.5
CurrentWorkingView,106446,106406,40101,29-Jan-24,010160,1710
CurrentWorkingView,106446,106406,40101,19-Feb-24,010160,712.5
CurrentWorkingView,106446,106406,40101,18-Mar-24,010160,1710
CurrentWorkingView,106446,106406,40101,15-Apr-24,010160,1995
CurrentWorkingView,106446,106406,40101,10-Jun-24,010160,1140
CurrentWorkingView,106446,106406,40101,17-Jun-24,010160,1995
CurrentWorkingView,106446,106406,40101,19-Aug-24,010160,1282.5
CurrentWorkingView,106446,106406,40101,14-Oct-24,010160,1140
CurrentWorkingView,106446,106406,40101,28-Oct-24,010160,1282.5
CurrentWorkingView,106446,106406,40101,11-Nov-24,010160,997.5
CurrentWorkingView,106446,106406,40101,23-Dec-24,010160,1567.5
CurrentWorkingView,106446,106406,40101,27-Jan-25,010160,1282.5
CurrentWorkingView,106446,106406,40101,17-Feb-25,010160,1567.5
CurrentWorkingView,106446,106406,40101,17-Mar-25,010160,997.5
CurrentWorkingView,106446,106406,100868,18-Apr-22,010160,6127.5
CurrentWorkingView,106446,106406,100868,25-Apr-22,010160,6982.5
CurrentWorkingView,106446,106406,100868,16-May-22,010160,4845
CurrentWorkingView,106446,106406,100868,13-Jun-22,010160,855
CurrentWorkingView,106446,106406,100868,19-Sep-22,010160,2137.5
CurrentWorkingView,106446,106406,100868,10-Oct-22,010160,2137.5
CurrentWorkingView,106446,106406,100868,07-Nov-22,010160,2422.5
CurrentWorkingView,106446,106406,100868,21-Nov-22,010160,2280
CurrentWorkingView,106446,106406,100868,05-Dec-22,010160,2707.5
CurrentWorkingView,106446,106406,100868,12-Dec-22,010160,5415
CurrentWorkingView,106446,106406,100868,30-Jan-23,010160,1852.5
CurrentWorkingView,106446,106406,100868,27-Feb-23,010160,2992.5
CurrentWorkingView,106446,106406,100868,20-Mar-23,010160,2850
CurrentWorkingView,106446,106406,100868,10-Apr-23,010160,2565
CurrentWorkingView,106446,106406,100868,17-Apr-23,010160,4560
CurrentWorkingView,106446,106406,100868,08-May-23,010160,2565
CurrentWorkingView,106446,106406,100868,19-Jun-23,010160,2280
CurrentWorkingView,106446,106406,100868,03-Jul-23,010160,3847.5
CurrentWorkingView,106446,106406,100868,17-Jul-23,010160,4560
CurrentWorkingView,106446,106406,100868,31-Jul-23,010160,4845
CurrentWorkingView,106446,106406,100868,18-Sep-23,010160,2137.5
CurrentWorkingView,106446,106406,100868,16-Oct-23,010160,3277.5
CurrentWorkingView,106446,106406,100868,18-Dec-23,010160,2280
CurrentWorkingView,106446,106406,100868,01-Jan-24,010160,3277.5
CurrentWorkingView,106446,106406,100868,29-Jan-24,010160,6127.5
CurrentWorkingView,106446,106406,100868,12-Feb-24,010160,3562.5
CurrentWorkingView,106446,106406,100868,18-Mar-24,010160,5700
CurrentWorkingView,106446,106406,100868,15-Apr-24,010160,6412.5
CurrentWorkingView,106446,106406,100868,27-May-24,010160,5415
CurrentWorkingView,106446,106406,100868,29-Jul-24,010160,3277.5
CurrentWorkingView,106446,106406,100868,19-Aug-24,010160,3847.5
CurrentWorkingView,106446,106406,100868,02-Sep-24,010160,9690
CurrentWorkingView,106446,106406,100868,27-Jan-25,010160,2707.5
CurrentWorkingView,106446,106406,100868,03-Feb-25,010160,1852.5
CurrentWorkingView,106446,106406,100868,03-Mar-25,010160,4417.5
CurrentWorkingView,106446,106406,100868,07-Apr-25,010160,2280
CurrentWorkingView,106446,106968,1052013,11-Apr-22,010160,3420
CurrentWorkingView,106446,106968,1052013,25-Apr-22,010160,855
CurrentWorkingView,106446,106968,1052013,23-May-22,010160,4845
CurrentWorkingView,106446,106968,1052013,30-May-22,010160,2707.5
CurrentWorkingView,106446,106968,1052013,20-Jun-22,010160,3562.5
CurrentWorkingView,106446,106968,1052013,11-Jul-22,010160,5985
CurrentWorkingView,106446,106968,1052013,15-Aug-22,010160,7267.5
CurrentWorkingView,106446,106968,1052013,29-Aug-22,010160,2707.5
CurrentWorkingView,106446,106968,1052013,05-Sep-22,010160,2422.5
CurrentWorkingView,106446,106968,1052013,19-Sep-22,010160,3420
CurrentWorkingView,106446,106968,1052013,03-Oct-22,010160,3135
CurrentWorkingView,106446,106968,1052013,17-Oct-22,010160,5130
CurrentWorkingView,106446,106968,1052013,31-Oct-22,010160,3135
CurrentWorkingView,106446,106968,1052013,07-Nov-22,010160,1425
CurrentWorkingView,106446,106968,1052013,21-Nov-22,010160,7980
CurrentWorkingView,106446,106968,1052013,28-Nov-22,010160,1140
CurrentWorkingView,106446,106968,1052013,05-Dec-22,010160,1282.5
CurrentWorkingView,106446,106968,1052013,12-Dec-22,010160,10830
CurrentWorkingView,106446,106968,1052013,26-Dec-22,010160,3420
CurrentWorkingView,106446,106968,1052013,16-Jan-23,010160,7410
CurrentWorkingView,106446,106968,1052013,30-Jan-23,010160,1140
CurrentWorkingView,106446,106968,1052013,06-Feb-23,010160,9262.5
CurrentWorkingView,106446,106968,1052013,27-Feb-23,010160,3705
CurrentWorkingView,106446,106968,1052013,06-Mar-23,010160,5130
CurrentWorkingView,106446,106968,1052013,27-Mar-23,010160,3705
CurrentWorkingView,106446,106968,1052013,03-Apr-23,010160,4417.5
CurrentWorkingView,106446,106968,1052013,10-Apr-23,010160,1140
CurrentWorkingView,106446,106968,1052013,17-Apr-23,010160,5700
CurrentWorkingView,106446,106968,1052013,24-Apr-23,010160,142.5
CurrentWorkingView,106446,106968,1052013,01-May-23,010160,1567.5
CurrentWorkingView,106446,106968,1052013,15-May-23,010160,1710
CurrentWorkingView,106446,106968,1052013,22-May-23,010160,4417.5
CurrentWorkingView,106446,106968,1052013,29-May-23,010160,285
CurrentWorkingView,106446,106968,1052013,12-Jun-23,010160,2992.5
CurrentWorkingView,106446,106968,1052013,19-Jun-23,010160,855
CurrentWorkingView,106446,106968,1052013,26-Jun-23,010160,3135
CurrentWorkingView,106446,106968,1052013,03-Jul-23,010160,2707.5
CurrentWorkingView,106446,106968,1052013,17-Jul-23,010160,5130
CurrentWorkingView,106446,106968,1052013,24-Jul-23,010160,1995
CurrentWorkingView,106446,106968,1052013,31-Jul-23,010160,2422.5
CurrentWorkingView,106446,106968,1052013,07-Aug-23,010160,3990
CurrentWorkingView,106446,106968,1052013,28-Aug-23,010160,1567.5
CurrentWorkingView,106446,106968,1052013,04-Sep-23,010160,4560
CurrentWorkingView,106446,106968,1052013,25-Sep-23,010160,3420
CurrentWorkingView,106446,106968,1052013,02-Oct-23,010160,1425
CurrentWorkingView,106446,106968,1052013,09-Oct-23,010160,1140
CurrentWorkingView,106446,106968,1052013,23-Oct-23,010160,3562.5
CurrentWorkingView,106446,106968,1052013,30-Oct-23,010160,2137.5
CurrentWorkingView,106446,106968,1052013,13-Nov-23,010160,4417.5
CurrentWorkingView,106446,106968,1052013,20-Nov-23,010160,3990
CurrentWorkingView,106446,106968,1052013,27-Nov-23,010160,1852.5
CurrentWorkingView,106446,106968,1052013,04-Dec-23,010160,1995
CurrentWorkingView,106446,106968,1052013,11-Dec-23,010160,1140
CurrentWorkingView,106446,106968,1052013,18-Dec-23,010160,3135
CurrentWorkingView,106446,106968,1052013,25-Dec-23,010160,4275
CurrentWorkingView,106446,106968,1052013,01-Jan-24,010160,4987.5
CurrentWorkingView,106446,106968,1052013,15-Jan-24,010160,855
CurrentWorkingView,106446,106968,1052013,22-Jan-24,010160,3847.5
CurrentWorkingView,106446,106968,1052013,29-Jan-24,010160,4987.5
CurrentWorkingView,106446,106968,1052013,05-Feb-24,010160,4845
CurrentWorkingView,106446,106968,1052013,19-Feb-24,010160,6270
CurrentWorkingView,106446,106968,1052013,04-Mar-24,010160,2422.5
CurrentWorkingView,106446,106968,1052013,25-Mar-24,010160,8977.5
CurrentWorkingView,106446,106968,1052013,01-Apr-24,010160,4845
CurrentWorkingView,106446,106968,1052013,15-Apr-24,010160,4987.5
CurrentWorkingView,106446,106968,1052013,22-Apr-24,010160,3135
CurrentWorkingView,106446,106968,1052013,06-May-24,010160,6555
CurrentWorkingView,106446,106968,1052013,20-May-24,010160,3705
CurrentWorkingView,106446,106968,1052013,27-May-24,010160,5700
CurrentWorkingView,106446,106968,1052013,10-Jun-24,010160,570
CurrentWorkingView,106446,106968,1052013,24-Jun-24,010160,1425
CurrentWorkingView,106446,106968,1052013,15-Jul-24,010160,4417.5
CurrentWorkingView,106446,106968,1052013,22-Jul-24,010160,855
CurrentWorkingView,106446,106968,1052013,29-Jul-24,010160,3135
CurrentWorkingView,106446,106968,1052013,12-Aug-24,010160,4845
CurrentWorkingView,106446,106968,1052013,19-Aug-24,010160,1425
CurrentWorkingView,106446,106968,1052013,26-Aug-24,010160,1140
CurrentWorkingView,106446,106968,1052013,02-Sep-24,010160,4845
CurrentWorkingView,106446,106968,1052013,16-Sep-24,010160,4275
CurrentWorkingView,106446,106968,1052013,07-Oct-24,010160,6697.5
CurrentWorkingView,106446,106968,1052013,04-Nov-24,010160,4987.5
CurrentWorkingView,106446,106968,1052013,11-Nov-24,010160,5130
CurrentWorkingView,106446,106968,1052013,18-Nov-24,010160,3562.5
CurrentWorkingView,106446,106968,1052013,25-Nov-24,010160,4132.5
CurrentWorkingView,106446,106968,1052013,02-Dec-24,010160,7837.5
CurrentWorkingView,106446,106968,1052013,16-Dec-24,010160,7695
CurrentWorkingView,106446,106968,1052013,30-Dec-24,010160,4132.5
CurrentWorkingView,106446,106968,1052013,20-Jan-25,010160,997.5
CurrentWorkingView,106446,106968,1052013,03-Feb-25,010160,1140
CurrentWorkingView,106446,106968,1052013,17-Feb-25,010160,1995
CurrentWorkingView,106446,106968,1052013,24-Feb-25,010160,2137.5
CurrentWorkingView,106446,106968,1052013,03-Mar-25,010160,2850
CurrentWorkingView,106446,106968,1052013,10-Mar-25,010160,1710
CurrentWorkingView,106446,106968,1052013,17-Mar-25,010160,3420
CurrentWorkingView,106446,106968,1052013,24-Mar-25,010160,1282.5
CurrentWorkingView,106446,106968,1052013,31-Mar-25,010160,2422.5
CurrentWorkingView,106446,106968,1052013,07-Apr-25,010160,3562.5
CurrentWorkingView,106446,106406,40101,05-Dec-22,010160,712.5
CurrentWorkingView,106446,106406,40101,22-Jul-24,010160,712.5
CurrentWorkingView,106446,106406,40101,02-Sep-24,010160,997.5
CurrentWorkingView,106446,106406,100868,18-Jul-22,010160,2351.25
CurrentWorkingView,106446,106406,100868,08-Aug-22,010160,1567.5
CurrentWorkingView,106446,106406,100868,09-Jan-23,010160,1852.5
CurrentWorkingView,106446,106406,100868,29-May-23,010160,1710
CurrentWorkingView,106446,106406,100868,09-Dec-24,010160,2137.5
CurrentWorkingView,106446,106968,1052013,16-May-22,010160,2850
CurrentWorkingView,106446,106968,1052013,01-Aug-22,010160,1282.5
CurrentWorkingView,106446,106968,1052013,02-Jan-23,010160,1852.5
CurrentWorkingView,106446,106968,1052013,08-May-23,010160,1852.5
CurrentWorkingView,106446,106968,1052013,10-Feb-25,010160,1710
CurrentWorkingView,106446,106968,1052013,20-Feb-23,010160,712.5
CurrentWorkingView,106446,106968,1052013,06-Jun-22,010160,570
