SKU (Drug/Product Code),Batch/Lot Number,Product Name/Description,Category/Therapeutic Class,Quantity On Hand,Unit of Measure,Unit Cost/Value,Expiration Date,Manufacturing Date,Stock Status,Echelon/Location,Supplier/Vendor Info,Order Date,Delivery Date,Regulatory Status,Recall/Non-Compliance Flags,Certification Numbers/Compliance Codes,PO Number,Fulfillment Date,Stock Movement Type,Units Sold/Dispensed,Return Reason,Planned Lead Time (Days),Service Level (Fill Rate %),Forecasted Demand
SKU1000,BATCH40559,Ibuprofen 200mg,Analgesic,3486,tablets,3.03,2025-05-23,2023-07-17,quarantined,Plant A,MediSupply,2022-02-24,2022-03-20,pending,manufacturing deviation,CDSCO-345483,PO381216,2022-03-08,inbound,828,damaged,27,87.43,1005
SKU1001,BATCH79519,Metformin 500mg,Analgesic,4464,tablets,17.11,2025-04-15,2022-11-19,quarantined,Pharmacy Y,WellnessMed,2023-10-08,2023-10-13,pending,manufacturing deviation,EMA-877243,PO268521,2023-10-24,outbound,1411,wrong item,28,97.94,874
SKU1002,BATCH66874,Paracetamol 500mg,Antidiabetic,2893,vials,14.81,2023-09-28,2022-08-20,recalled,Plant A,CarePharma,2021-09-27,2021-10-15,restricted,labeling issue,CDSCO-835258,PO930164,2021-10-13,inbound,22,expired,21,85.34,1365
SKU1003,BATCH17047,Ibuprofen 200mg,PPI,2970,tablets,12.04,2025-06-09,2023-11-30,in stock,Hospital X,PharmaCorp,2022-03-02,2022-03-05,restricted,contamination,MHRA-795824,PO493378,2022-03-04,outbound,461,damaged,7,95.59,2320
SKU1004,BATCH51209,Amlodipine 5mg,Statin,2574,capsules,13.6,2024-10-08,2022-01-24,recalled,Hospital X,WellnessMed,2021-06-04,2021-06-05,approved,contamination,CDSCO-439071,PO467011,2021-06-10,outbound,1044,wrong item,26,80.13,681
SKU1005,BATCH35723,Losartan 50mg,Statin,1016,ml,9.62,2024-04-06,2022-05-23,in transit,Warehouse 1,CarePharma,2023-07-02,2023-07-27,approved,manufacturing deviation,MHRA-435612,PO213160,2023-07-28,outbound,1100,recalled,5,92.61,1027
SKU1006,BATCH27808,Ciprofloxacin 500mg,Analgesic,888,ml,4.25,2025-02-12,2022-05-29,recalled,CDC North,PharmaCorp,2023-04-11,2023-05-06,pending,manufacturing deviation,FDA-298917,PO222443,2023-04-24,outbound,1239,wrong item,18,80.12,3650
SKU1007,BATCH74560,Amlodipine 5mg,Antihypertensive,1462,ml,1.39,2026-02-22,2023-06-08,in stock,Pharmacy Y,WellnessMed,2023-02-03,2023-03-03,pending,none,TGA-310028,PO594005,2023-02-06,outbound,377,,11,98.82,2189
SKU1008,BATCH53195,Cetirizine 10mg,Antipyretic,2768,ml,12.96,2023-10-01,2022-11-10,recalled,Hospital X,CarePharma,2023-04-22,2023-04-30,restricted,labeling issue,CDSCO-616221,PO939474,2023-05-19,inbound,1235,recalled,8,99.1,603
SKU1009,BATCH19418,Paracetamol 500mg,Antihistamine,1973,vials,15.53,2024-07-19,2023-08-17,in stock,CDC North,MediSupply,2021-08-13,2021-08-16,restricted,manufacturing deviation,CDSCO-936289,PO206340,2021-08-15,outbound,1336,damaged,24,81.4,422
SKU1010,BATCH78271,Paracetamol 500mg,PPI,4113,capsules,10.95,2026-01-03,2023-09-01,recalled,Pharmacy Y,CarePharma,2023-10-28,2023-10-29,restricted,manufacturing deviation,TGA-386519,PO257701,2023-11-11,outbound,437,damaged,5,95.79,4932
SKU1011,BATCH28707,Losartan 50mg,Antibiotic,3045,tablets,11.48,2024-07-16,2023-05-24,recalled,Plant A,WellnessMed,2023-01-23,2023-01-26,approved,contamination,CDSCO-437007,PO141167,2023-02-09,inbound,1958,,13,91.78,726
SKU1012,BATCH42686,Omeprazole 20mg,Analgesic,2270,capsules,11.7,2023-06-13,2022-05-26,in transit,Plant A,WellnessMed,2023-10-12,2023-10-21,approved,expired stock,FDA-201058,PO973877,2023-10-21,outbound,1957,damaged,19,84.47,1198
SKU1013,BATCH51731,Ciprofloxacin 500mg,Antihistamine,2700,capsules,14.56,2025-12-15,2023-12-22,in transit,Hospital X,PharmaCorp,2022-09-24,2022-10-16,approved,contamination,TGA-408499,PO341254,2022-10-06,outbound,186,wrong item,8,99.64,2301
SKU1014,BATCH29498,Ciprofloxacin 500mg,Antihypertensive,4338,ml,4.55,2025-01-09,2022-06-23,in transit,Plant A,HealthPlus,2021-04-06,2021-04-22,pending,contamination,CDSCO-640321,PO309659,2021-04-30,outbound,1356,,3,86.19,632
SKU1015,BATCH13818,Amoxicillin 250mg,Antibiotic,1524,capsules,3.73,2024-07-10,2022-11-08,in stock,CDC North,CarePharma,2021-11-24,2021-11-25,restricted,none,TGA-101330,PO358688,2021-11-27,inbound,381,expired,29,99.97,894
SKU1016,BATCH48151,Cetirizine 10mg,Analgesic,4841,vials,10.78,2025-04-08,2023-05-28,recalled,Plant A,HealthPlus,2022-04-13,2022-05-12,pending,expired stock,MHRA-339874,PO264605,2022-04-28,inbound,1771,,23,82.52,4109
SKU1017,BATCH42960,Cetirizine 10mg,Statin,2624,ml,0.84,2025-10-10,2023-08-20,recalled,Plant A,PharmaCorp,2023-11-26,2023-12-16,restricted,contamination,CDSCO-262640,PO686241,2023-12-10,inbound,1573,damaged,29,92.88,1812
SKU1018,BATCH55370,Paracetamol 500mg,Antihistamine,3827,tablets,17.84,2026-01-19,2023-04-01,in transit,CDC North,CarePharma,2022-03-14,2022-04-05,restricted,expired stock,MHRA-813131,PO456966,2022-03-16,outbound,1989,wrong item,24,89.74,790
SKU1019,BATCH81605,Ciprofloxacin 500mg,Antihistamine,4804,tablets,7.38,2023-03-25,2022-07-04,in stock,Pharmacy Y,MediSupply,2023-07-16,2023-08-12,pending,expired stock,FDA-656589,PO725769,2023-07-24,inbound,129,expired,7,87.19,857
SKU1020,BATCH99319,Ibuprofen 200mg,Antihypertensive,3971,vials,18.55,2026-02-17,2023-09-14,in transit,CDC North,CarePharma,2023-08-29,2023-09-06,restricted,labeling issue,CDSCO-237294,PO356062,2023-09-21,outbound,830,expired,22,99.2,3204
SKU1021,BATCH99713,Atorvastatin 10mg,PPI,3766,vials,8.8,2023-08-15,2022-04-09,in stock,Warehouse 1,PharmaCorp,2023-03-24,2023-04-10,approved,none,TGA-609030,PO102266,2023-04-02,outbound,1650,wrong item,14,85.08,498
SKU1022,BATCH82109,Cetirizine 10mg,PPI,3339,ml,1.57,2025-10-03,2023-10-31,in stock,Hospital X,CarePharma,2023-04-09,2023-04-20,approved,manufacturing deviation,FDA-620375,PO878974,2023-05-07,outbound,853,wrong item,29,82.4,2571
SKU1023,BATCH53085,Amoxicillin 250mg,Antipyretic,1599,capsules,8.92,2023-07-13,2023-01-13,quarantined,Warehouse 1,PharmaCorp,2022-01-29,2022-02-15,restricted,contamination,FDA-325093,PO843592,2022-02-28,outbound,804,wrong item,27,97.6,310
SKU1024,BATCH94852,Atorvastatin 10mg,Statin,2851,tablets,15.45,2024-08-09,2022-12-21,in stock,Plant A,PharmaCorp,2023-06-05,2023-07-02,approved,contamination,CDSCO-954150,PO934318,2023-06-17,inbound,891,damaged,23,90.37,778
SKU1025,BATCH43575,Losartan 50mg,Statin,2393,vials,18.47,2025-03-21,2023-07-03,recalled,Warehouse 1,HealthPlus,2022-07-12,2022-08-08,pending,expired stock,EMA-372169,PO393903,2022-08-09,outbound,1560,wrong item,27,99.68,4149
SKU1026,BATCH50342,Ibuprofen 200mg,Antihypertensive,4790,vials,8.47,2023-12-09,2022-09-02,in transit,Pharmacy Y,PharmaCorp,2021-07-12,2021-08-06,approved,contamination,EMA-503297,PO783313,2021-07-31,outbound,681,,20,93.15,4619
SKU1027,BATCH32718,Omeprazole 20mg,Statin,4860,tablets,4.81,2024-11-11,2023-06-19,in transit,CDC North,HealthPlus,2022-12-25,2023-01-08,restricted,none,CDSCO-594508,PO502473,2023-01-19,inbound,117,damaged,11,81.0,1019
SKU1028,BATCH16482,Cetirizine 10mg,Antihistamine,2229,tablets,16.1,2024-11-28,2023-03-22,quarantined,Warehouse 1,HealthPlus,2023-07-14,2023-08-13,pending,labeling issue,FDA-754147,PO703786,2023-07-24,inbound,839,damaged,21,85.67,4776
SKU1029,BATCH26925,Ciprofloxacin 500mg,Antihypertensive,988,capsules,15.05,2024-08-01,2022-05-09,quarantined,Pharmacy Y,HealthPlus,2023-10-31,2023-11-03,restricted,labeling issue,TGA-138133,PO724369,2023-11-04,outbound,864,wrong item,13,82.17,3807
SKU1030,BATCH14542,Cetirizine 10mg,Antihypertensive,4028,tablets,12.11,2025-03-04,2022-05-26,in stock,Plant A,CarePharma,2023-11-10,2023-12-06,restricted,manufacturing deviation,CDSCO-165720,PO710080,2023-12-05,outbound,1812,damaged,9,85.45,3849
SKU1031,BATCH10795,Ciprofloxacin 500mg,Antihistamine,644,capsules,19.48,2025-05-01,2022-05-14,quarantined,Pharmacy Y,HealthPlus,2022-09-08,2022-09-17,approved,labeling issue,CDSCO-399852,PO498841,2022-09-27,inbound,1550,,9,89.47,733
SKU1032,BATCH47529,Amoxicillin 250mg,Antihistamine,2676,capsules,14.51,2023-10-01,2022-01-16,in transit,CDC North,WellnessMed,2022-09-29,2022-10-02,approved,manufacturing deviation,FDA-685917,PO993516,2022-10-27,outbound,293,,8,94.35,4907
SKU1033,BATCH44843,Ibuprofen 200mg,Antihypertensive,1894,tablets,19.32,2026-06-06,2023-09-21,in stock,Pharmacy Y,MediSupply,2022-12-21,2023-01-13,approved,manufacturing deviation,MHRA-245319,PO783444,2022-12-25,inbound,894,recalled,6,90.18,847
SKU1034,BATCH31671,Cetirizine 10mg,PPI,106,ml,18.55,2024-05-11,2023-06-19,quarantined,Hospital X,WellnessMed,2023-08-22,2023-09-10,pending,expired stock,FDA-658344,PO893446,2023-09-14,inbound,1515,wrong item,25,89.36,2576
SKU1035,BATCH24057,Losartan 50mg,Antipyretic,4765,vials,12.01,2025-04-20,2022-10-27,recalled,Plant A,WellnessMed,2022-04-03,2022-04-14,approved,manufacturing deviation,EMA-297522,PO892516,2022-04-24,outbound,35,,24,92.61,2566
SKU1036,BATCH63716,Paracetamol 500mg,Antibiotic,4529,tablets,16.17,2025-11-09,2023-08-05,in transit,Hospital X,HealthPlus,2022-05-23,2022-06-02,pending,none,FDA-978513,PO590716,2022-05-29,inbound,1737,,30,95.31,2120
SKU1037,BATCH83136,Atorvastatin 10mg,Antihypertensive,4021,capsules,13.3,2024-10-31,2023-09-06,in transit,Warehouse 1,WellnessMed,2022-09-24,2022-09-25,restricted,expired stock,FDA-910412,PO248392,2022-10-22,outbound,908,expired,29,82.2,4472
SKU1038,BATCH98723,Paracetamol 500mg,Antihistamine,4463,ml,9.12,2024-02-22,2022-01-05,in transit,Plant A,WellnessMed,2021-06-03,2021-06-13,approved,expired stock,MHRA-204373,PO281317,2021-06-10,inbound,671,,23,93.52,3479
SKU1039,BATCH94006,Losartan 50mg,Antihypertensive,3135,vials,0.88,2024-09-04,2023-12-23,recalled,CDC North,PharmaCorp,2021-05-17,2021-06-08,pending,none,CDSCO-671030,PO130520,2021-05-25,outbound,536,damaged,17,83.16,3054
SKU1040,BATCH69479,Amoxicillin 250mg,Antipyretic,3962,ml,11.22,2024-02-12,2022-05-12,in stock,CDC North,CarePharma,2022-01-05,2022-01-19,restricted,none,TGA-734280,PO933562,2022-01-18,outbound,1416,recalled,2,87.2,2410
SKU1041,BATCH55261,Metformin 500mg,Statin,1675,capsules,9.44,2023-08-11,2022-01-03,in stock,Hospital X,HealthPlus,2022-05-23,2022-06-12,pending,expired stock,FDA-554729,PO931328,2022-06-04,inbound,1788,expired,10,94.52,2042
SKU1042,BATCH33519,Cetirizine 10mg,PPI,1403,capsules,1.76,2024-03-29,2022-10-11,recalled,Warehouse 1,CarePharma,2022-03-16,2022-03-26,approved,labeling issue,CDSCO-965967,PO711917,2022-04-10,inbound,1422,,8,87.76,3593
SKU1043,BATCH65845,Ciprofloxacin 500mg,Antibiotic,977,ml,19.14,2025-08-07,2023-04-14,recalled,Plant A,PharmaCorp,2022-07-08,2022-07-23,approved,labeling issue,CDSCO-386071,PO559978,2022-07-17,outbound,1801,damaged,20,90.12,3131
SKU1044,BATCH49203,Paracetamol 500mg,Antibiotic,2942,capsules,2.32,2024-05-30,2023-03-31,quarantined,Plant A,HealthPlus,2023-03-11,2023-04-03,restricted,none,MHRA-855566,PO401638,2023-03-17,inbound,1915,recalled,11,87.52,1463
SKU1045,BATCH30518,Losartan 50mg,Antihistamine,369,ml,8.33,2024-04-23,2022-09-11,in transit,Pharmacy Y,WellnessMed,2021-09-07,2021-10-07,pending,contamination,FDA-796161,PO454587,2021-09-23,outbound,522,recalled,6,81.42,4373
SKU1046,BATCH64967,Amoxicillin 250mg,Antidiabetic,824,ml,15.42,2025-02-17,2023-11-01,in transit,Warehouse 1,WellnessMed,2021-04-09,2021-05-09,pending,none,TGA-582701,PO105917,2021-04-26,outbound,1521,,25,93.96,1287
SKU1047,BATCH15442,Cetirizine 10mg,Antipyretic,4265,ml,13.87,2024-08-05,2022-05-15,in transit,Pharmacy Y,WellnessMed,2022-11-16,2022-12-10,approved,expired stock,TGA-265245,PO135488,2022-12-08,inbound,1647,recalled,11,93.57,3328
SKU1048,BATCH95488,Amlodipine 5mg,PPI,470,capsules,7.19,2025-01-24,2023-02-23,in transit,Warehouse 1,CarePharma,2023-02-03,2023-02-12,restricted,labeling issue,EMA-324193,PO156123,2023-02-18,outbound,531,expired,5,84.27,1408
SKU1049,BATCH70284,Atorvastatin 10mg,Antihistamine,205,vials,6.32,2024-10-23,2022-12-02,in stock,Hospital X,PharmaCorp,2021-09-22,2021-10-06,approved,expired stock,TGA-436258,PO407935,2021-10-13,inbound,698,,22,92.88,4471
SKU1050,BATCH34224,Paracetamol 500mg,Antibiotic,3036,vials,6.44,2025-04-30,2023-02-15,quarantined,CDC North,CarePharma,2021-05-06,2021-05-25,approved,contamination,FDA-553814,PO761850,2021-06-05,inbound,577,wrong item,14,89.92,3336
SKU1051,BATCH39846,Amlodipine 5mg,Antihypertensive,1278,ml,6.08,2024-02-01,2023-02-08,in stock,CDC North,PharmaCorp,2021-06-02,2021-06-23,pending,expired stock,CDSCO-731187,PO582154,2021-06-26,inbound,155,wrong item,7,83.84,4843
SKU1052,BATCH67387,Amlodipine 5mg,Antihypertensive,1741,capsules,17.28,2023-10-01,2023-03-06,in stock,Warehouse 1,PharmaCorp,2023-03-20,2023-04-16,approved,none,FDA-752426,PO534693,2023-04-03,inbound,1314,wrong item,19,80.36,2726
SKU1053,BATCH17232,Paracetamol 500mg,Antidiabetic,3439,vials,16.51,2024-11-12,2023-06-18,recalled,Warehouse 1,PharmaCorp,2022-03-11,2022-03-12,restricted,manufacturing deviation,TGA-198943,PO961715,2022-03-16,inbound,1411,,26,98.43,3522
SKU1054,BATCH79433,Omeprazole 20mg,Antidiabetic,1030,capsules,7.91,2024-10-31,2023-10-05,in transit,Plant A,MediSupply,2022-11-03,2022-11-04,restricted,labeling issue,TGA-809314,PO728485,2022-11-08,inbound,735,,11,83.67,2878
SKU1055,BATCH55173,Paracetamol 500mg,Antihypertensive,1862,tablets,15.45,2024-03-23,2023-03-18,quarantined,CDC North,WellnessMed,2022-03-13,2022-03-26,pending,none,MHRA-410352,PO347962,2022-03-26,outbound,65,,30,94.25,4208
SKU1056,BATCH79523,Omeprazole 20mg,Antibiotic,384,capsules,13.32,2025-07-14,2023-06-03,in transit,Plant A,WellnessMed,2023-08-09,2023-08-30,restricted,contamination,TGA-719120,PO280657,2023-09-01,inbound,373,expired,19,96.5,3202
SKU1057,BATCH52538,Losartan 50mg,Antihypertensive,3686,tablets,12.27,2024-01-11,2023-04-30,quarantined,Pharmacy Y,MediSupply,2021-06-11,2021-06-30,restricted,expired stock,CDSCO-265386,PO304428,2021-07-08,inbound,22,recalled,2,91.36,296
SKU1058,BATCH24485,Losartan 50mg,Antidiabetic,1753,tablets,19.56,2024-12-17,2022-06-03,quarantined,Pharmacy Y,HealthPlus,2023-10-09,2023-11-06,pending,labeling issue,TGA-739761,PO563024,2023-10-15,outbound,1319,,10,82.88,2386
SKU1059,BATCH57684,Cetirizine 10mg,Antidiabetic,2972,capsules,18.09,2025-08-19,2023-05-18,in stock,CDC North,WellnessMed,2022-09-28,2022-10-18,pending,contamination,CDSCO-853599,PO644345,2022-10-19,inbound,1044,wrong item,12,88.79,923
SKU1060,BATCH24339,Amlodipine 5mg,Antihistamine,511,vials,1.98,2023-11-10,2023-05-08,in stock,Warehouse 1,WellnessMed,2023-04-06,2023-04-12,restricted,contamination,TGA-301809,PO534044,2023-04-12,outbound,1639,expired,17,93.15,2865
SKU1061,BATCH96654,Ibuprofen 200mg,PPI,4927,vials,18.09,2024-05-21,2022-03-17,recalled,CDC North,PharmaCorp,2023-08-16,2023-08-23,restricted,none,CDSCO-705886,PO183278,2023-08-25,outbound,615,expired,8,97.01,1234
SKU1062,BATCH67295,Cetirizine 10mg,Antihypertensive,2199,tablets,15.33,2024-08-31,2022-07-26,in stock,Pharmacy Y,PharmaCorp,2022-05-02,2022-05-04,restricted,none,MHRA-642010,PO702818,2022-05-23,inbound,1369,recalled,4,92.01,3355
SKU1063,BATCH52680,Losartan 50mg,Antidiabetic,4724,vials,15.07,2025-01-26,2023-05-21,quarantined,Hospital X,CarePharma,2023-08-06,2023-08-13,pending,labeling issue,CDSCO-368812,PO980970,2023-08-15,outbound,1484,wrong item,1,99.59,1191
SKU1064,BATCH44216,Amlodipine 5mg,Antipyretic,370,capsules,2.12,2024-09-04,2023-08-09,in stock,Hospital X,CarePharma,2023-11-19,2023-12-12,approved,labeling issue,CDSCO-183744,PO791538,2023-12-03,outbound,1494,wrong item,29,99.66,4704
SKU1065,BATCH97650,Cetirizine 10mg,Antidiabetic,946,vials,1.25,2024-08-22,2022-07-11,in stock,Warehouse 1,PharmaCorp,2021-01-29,2021-02-21,pending,labeling issue,CDSCO-302265,PO642419,2021-02-07,outbound,331,wrong item,2,99.93,3427
SKU1066,BATCH13201,Ibuprofen 200mg,Antihistamine,4938,capsules,4.15,2025-01-21,2023-12-13,in stock,Hospital X,MediSupply,2022-07-27,2022-08-12,approved,manufacturing deviation,CDSCO-470380,PO528073,2022-08-14,inbound,1388,damaged,4,83.18,995
SKU1067,BATCH86973,Amlodipine 5mg,Antidiabetic,312,capsules,13.34,2024-01-31,2023-05-31,recalled,CDC North,PharmaCorp,2022-11-01,2022-11-23,restricted,expired stock,FDA-912770,PO340502,2022-11-25,inbound,675,,7,86.34,4932
SKU1068,BATCH99891,Ibuprofen 200mg,Antipyretic,983,capsules,14.97,2025-04-05,2023-02-04,recalled,Hospital X,HealthPlus,2022-03-30,2022-04-28,restricted,expired stock,EMA-447634,PO168531,2022-04-10,outbound,134,wrong item,28,95.52,4161
SKU1069,BATCH22164,Losartan 50mg,Antihypertensive,1459,capsules,6.05,2025-06-05,2022-06-16,in transit,CDC North,WellnessMed,2022-01-26,2022-02-14,approved,expired stock,MHRA-634216,PO331617,2022-02-07,inbound,187,,1,97.12,4554
SKU1070,BATCH13600,Ciprofloxacin 500mg,Statin,2408,capsules,7.85,2024-12-18,2022-12-21,quarantined,CDC North,CarePharma,2021-06-07,2021-07-02,pending,contamination,MHRA-678559,PO219501,2021-06-20,inbound,729,recalled,14,93.56,899
SKU1071,BATCH65881,Omeprazole 20mg,Antibiotic,3909,ml,18.15,2023-11-10,2022-11-16,recalled,Warehouse 1,MediSupply,2023-02-17,2023-03-15,restricted,labeling issue,TGA-955654,PO807046,2023-02-28,inbound,526,,4,90.24,1806
SKU1072,BATCH35859,Ibuprofen 200mg,PPI,2012,ml,2.05,2024-11-08,2023-03-14,quarantined,Pharmacy Y,PharmaCorp,2023-04-25,2023-04-30,pending,none,MHRA-738926,PO353741,2023-05-25,inbound,423,recalled,27,99.76,4204
SKU1073,BATCH72622,Omeprazole 20mg,Analgesic,2578,tablets,5.82,2024-11-28,2023-02-23,recalled,CDC North,HealthPlus,2021-12-30,2022-01-06,pending,expired stock,FDA-165149,PO375350,2022-01-02,inbound,562,,28,80.1,2501
SKU1074,BATCH54009,Ciprofloxacin 500mg,Antipyretic,3585,tablets,8.0,2025-07-17,2023-04-20,quarantined,CDC North,WellnessMed,2021-02-22,2021-03-15,approved,contamination,MHRA-672196,PO757710,2021-02-25,inbound,453,recalled,30,94.94,3516
SKU1075,BATCH73387,Losartan 50mg,Antidiabetic,4992,ml,13.32,2023-09-06,2023-01-26,in transit,Hospital X,MediSupply,2023-05-22,2023-05-29,restricted,manufacturing deviation,EMA-559248,PO971088,2023-06-18,outbound,1672,recalled,7,88.68,537
SKU1076,BATCH83055,Amlodipine 5mg,Antidiabetic,2206,capsules,17.55,2025-05-03,2023-08-10,in transit,Plant A,PharmaCorp,2022-08-10,2022-09-05,restricted,expired stock,TGA-244305,PO922346,2022-08-25,inbound,1091,expired,15,90.48,2030
SKU1077,BATCH55625,Metformin 500mg,Antihypertensive,4711,capsules,6.59,2024-08-06,2023-07-09,quarantined,CDC North,PharmaCorp,2021-02-10,2021-02-14,pending,none,CDSCO-693639,PO555861,2021-02-12,outbound,1875,recalled,11,84.72,665
SKU1078,BATCH48164,Amlodipine 5mg,Antihypertensive,4827,vials,13.27,2025-09-04,2022-12-31,recalled,Hospital X,HealthPlus,2023-11-14,2023-12-03,pending,expired stock,EMA-744447,PO882168,2023-12-08,outbound,70,damaged,23,88.12,2658
SKU1079,BATCH31150,Atorvastatin 10mg,Antihypertensive,2130,tablets,17.44,2023-05-30,2022-04-02,in stock,CDC North,MediSupply,2023-10-15,2023-11-08,pending,none,TGA-717082,PO470444,2023-10-30,outbound,1451,wrong item,3,88.94,1803
SKU1080,BATCH52134,Cetirizine 10mg,Antihypertensive,985,ml,7.72,2024-08-25,2022-03-01,recalled,Warehouse 1,WellnessMed,2021-08-21,2021-09-16,approved,expired stock,FDA-165753,PO439879,2021-08-25,inbound,1652,damaged,13,80.94,3825
SKU1081,BATCH81550,Paracetamol 500mg,Antidiabetic,1880,capsules,11.51,2025-10-02,2023-06-04,quarantined,Hospital X,WellnessMed,2022-01-21,2022-02-01,approved,labeling issue,TGA-926182,PO861225,2022-02-09,inbound,866,wrong item,16,93.54,3079
SKU1082,BATCH70640,Cetirizine 10mg,Antibiotic,730,capsules,6.6,2024-07-18,2023-12-16,quarantined,Plant A,PharmaCorp,2021-02-11,2021-02-23,restricted,manufacturing deviation,MHRA-723019,PO707634,2021-02-27,inbound,507,recalled,22,97.47,1721
SKU1083,BATCH38340,Metformin 500mg,Analgesic,585,ml,8.28,2024-02-13,2022-12-23,quarantined,Hospital X,PharmaCorp,2022-02-28,2022-03-24,pending,contamination,FDA-105745,PO344556,2022-03-13,inbound,1261,damaged,3,96.26,1624
SKU1084,BATCH79905,Amlodipine 5mg,Antipyretic,4582,vials,13.03,2024-01-16,2023-06-24,recalled,Pharmacy Y,MediSupply,2021-07-25,2021-08-20,approved,expired stock,CDSCO-751375,PO251912,2021-08-07,outbound,62,damaged,5,88.98,1457
SKU1085,BATCH30793,Amlodipine 5mg,Antipyretic,2297,tablets,18.89,2024-11-20,2022-07-04,recalled,Plant A,WellnessMed,2022-08-20,2022-09-13,pending,expired stock,EMA-168999,PO787203,2022-09-11,outbound,454,damaged,26,83.59,1973
SKU1086,BATCH61366,Omeprazole 20mg,Antihypertensive,2921,capsules,8.2,2026-04-15,2023-10-30,in transit,Hospital X,HealthPlus,2021-02-21,2021-03-14,pending,none,EMA-826089,PO177702,2021-03-17,outbound,860,recalled,12,86.79,3962
SKU1087,BATCH78548,Cetirizine 10mg,Antibiotic,4658,capsules,19.12,2024-02-20,2022-04-03,recalled,Plant A,HealthPlus,2022-06-16,2022-07-07,restricted,expired stock,MHRA-568159,PO221603,2022-07-06,inbound,233,expired,3,92.84,2803
SKU1088,BATCH49313,Paracetamol 500mg,Antihistamine,3532,tablets,13.11,2024-04-22,2022-02-24,quarantined,Warehouse 1,MediSupply,2021-10-30,2021-11-14,approved,contamination,FDA-126855,PO894833,2021-11-10,outbound,1295,expired,8,87.28,992
SKU1089,BATCH14376,Amlodipine 5mg,Antibiotic,2442,capsules,2.04,2023-05-09,2022-02-21,in transit,Pharmacy Y,MediSupply,2022-10-20,2022-11-13,pending,manufacturing deviation,FDA-379341,PO348226,2022-11-19,inbound,851,expired,18,82.02,1394
SKU1090,BATCH14010,Omeprazole 20mg,Antidiabetic,716,ml,14.18,2023-06-12,2022-06-22,in stock,Hospital X,MediSupply,2021-12-22,2022-01-06,pending,none,EMA-449513,PO485773,2022-01-03,inbound,546,wrong item,23,83.72,1716
SKU1091,BATCH47453,Metformin 500mg,Antihypertensive,1688,tablets,13.8,2025-12-02,2023-12-05,in stock,Warehouse 1,CarePharma,2023-09-26,2023-10-26,restricted,expired stock,EMA-545125,PO388519,2023-10-21,inbound,1951,,9,94.5,912
SKU1092,BATCH48011,Paracetamol 500mg,Analgesic,4007,ml,18.55,2023-05-09,2022-10-17,in transit,Pharmacy Y,MediSupply,2022-11-18,2022-11-22,restricted,expired stock,EMA-721175,PO511202,2022-12-06,outbound,387,expired,22,99.75,2825
SKU1093,BATCH95898,Atorvastatin 10mg,Antibiotic,4114,ml,18.4,2023-01-06,2022-02-05,in transit,Hospital X,WellnessMed,2021-06-30,2021-07-10,restricted,labeling issue,MHRA-882421,PO906904,2021-07-18,outbound,1768,wrong item,22,98.83,2925
SKU1094,BATCH52609,Cetirizine 10mg,Antipyretic,2416,capsules,0.9,2023-12-02,2022-12-20,quarantined,Plant A,WellnessMed,2022-11-14,2022-12-04,restricted,labeling issue,FDA-828129,PO228281,2022-12-05,inbound,697,recalled,8,92.78,1962
SKU1095,BATCH40301,Losartan 50mg,Antihypertensive,1993,ml,3.42,2023-03-03,2022-07-31,in transit,CDC North,HealthPlus,2023-07-14,2023-08-12,restricted,contamination,FDA-442294,PO270408,2023-08-11,outbound,1481,,27,93.25,478
SKU1096,BATCH53638,Amlodipine 5mg,PPI,3462,ml,15.3,2023-06-15,2022-11-30,in stock,CDC North,PharmaCorp,2021-07-20,2021-08-11,pending,manufacturing deviation,FDA-397614,PO279132,2021-08-11,outbound,1080,recalled,17,85.2,832
SKU1097,BATCH91596,Cetirizine 10mg,PPI,4176,capsules,6.59,2025-05-23,2022-06-25,recalled,Warehouse 1,MediSupply,2023-03-07,2023-03-13,pending,manufacturing deviation,TGA-521797,PO741200,2023-03-10,outbound,273,damaged,6,86.84,4090
SKU1098,BATCH12850,Omeprazole 20mg,Antidiabetic,536,capsules,8.82,2024-04-01,2022-08-12,in stock,Pharmacy Y,CarePharma,2022-12-28,2023-01-23,pending,none,MHRA-756259,PO860212,2023-01-18,inbound,1989,damaged,20,83.42,2199
SKU1099,BATCH27465,Atorvastatin 10mg,Analgesic,4917,vials,13.42,2023-04-11,2022-02-24,recalled,Pharmacy Y,CarePharma,2022-05-15,2022-06-09,approved,expired stock,MHRA-259067,PO465437,2022-06-11,outbound,1463,,16,91.66,909
